"og","gene","pseu"
"OG0000347","AL3G50380",NA
"OG0000347","AL496U100",NA
"OG0000347","AL5G18790",NA
"OG0000347","AL5G18800","AL5G18800_NT1_v2_scaffold_5_copy_1"
"OG0000347","AL5G32600",NA
"OG0000347","AL5G34240","AL5G34240_NT1_v2_scaffold_5_copy_1"
"OG0000347","AL6G41670",NA
"OG0000347","AL6G41680",NA
"OG0000347","AL6G41690","AL6G41690_al1_v2_s_scaffold_6_copy_4"
"OG0000347","AL6G41700","AL6G41700_al1_v2_s_scaffold_6_copy_5"
"OG0000347","AL6G51840",NA
"OG0000347","AL6G51870",NA
"OG0000360","AL2G29250","AL2G29250_al1_v2_s_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_ALR_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_BAM12_v2_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_KN005_v1_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_KN006_v1_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_Nla_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_NT1_v2_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_NT12_v2_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_NT8_v2_fix_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_NT9_v2_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_PU6_v3_fin_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_TE11_v2_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_TE4_v1_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_TE8_v1_scaffold_2_copy_1"
"OG0000360","AL2G29250","AL2G29250_WS1_v2_s_scaffold_2_copy_1"
"OG0000360","AL2G29260","AL2G29260_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000360","AL2G29280",NA
"OG0000360","AL2G29310","AL2G29310_73_3a_scaffold_3_copy_1"
"OG0000360","AL2G29310","AL2G29310_BAM12_v2_scaffold_2_copy_1"
"OG0000360","AL2G29310","AL2G29310_F1-14_scaffold_7_copy_1"
"OG0000360","AL2G29310","AL2G29310_NT8_v2_fix_scaffold_2_copy_1"
"OG0000360","AL2G29310","AL2G29310_NT9_v2_scaffold_2_copy_1"
"OG0000360","AL2G29370","AL2G29370_KN006_v1_scaffold_2_copy_1"
"OG0000360","AL2G29370","AL2G29370_NT1_v2_scaffold_2_copy_1"
"OG0000360","AL2G29390",NA
"OG0000360","AL5G35460","AL5G35460_BAM12_v2_scaffold_5_copy_1"
"OG0000360","AL5G35460","AL5G35460_NT8_v2_fix_scaffold_5_copy_1"
"OG0000360","AL5G35460","AL5G35460_NT9_v2_scaffold_5_copy_1"
"OG0000360","AL5G35460","AL5G35460_PU6_v3_fin_scaffold_5_copy_1"
"OG0000360","AL7G51140","AL7G51140_BAM12_v2_scaffold_7_copy_1"
"OG0000360","AL7G51140","AL7G51140_KN003hexa_v0_scaffold_7_copy_1"
"OG0000360","AL7G51140","AL7G51140_KN005_v1_scaffold_7_copy_1"
"OG0000360","AL7G51140","AL7G51140_KN006_v1_scaffold_7_copy_1"
"OG0000360","AL7G51140","AL7G51140_MN47_mabs_v3_scaffold_7_copy_1"
"OG0000360","AL7G51140","AL7G51140_WS1_v2_s_scaffold_7_copy_1"
"OG0000386","AL1G47530","AL1G47530_73_3a_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_AL27_v1_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_BAM12_v2_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_KN005_v1_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_MN47_mabs_v3_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_NT1_v2_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_NT12_v2_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_NT8_v2_fix_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_TE11_v2_scaffold_1_copy_1"
"OG0000386","AL1G47530","AL1G47530_TE4_v1_scaffold_1_copy_1"
"OG0000386","AL1G47540","AL1G47540_al1_v2_s_scaffold_1_copy_1"
"OG0000386","AL1G47540","AL1G47540_BAM12_v2_scaffold_1_copy_1"
"OG0000386","AL1G47540","AL1G47540_KN005_v1_scaffold_1_copy_2"
"OG0000386","AL3G41080","AL3G41080_73_3a_scaffold_3_copy_1"
"OG0000386","AL3G41080","AL3G41080_AL27_v1_scaffold_3_copy_1"
"OG0000386","AL3G41080","AL3G41080_KN006_v1_scaffold_3_copy_1"
"OG0000386","AL3G41080","AL3G41080_MN47_mabs_v3_scaffold_3_copy_1"
"OG0000386","AL3G41080","AL3G41080_NT12_v2_scaffold_3_copy_1"
"OG0000386","AL6G31890",NA
"OG0000386","AL6G31900","AL6G31900_WS1_v2_s_scaffold_6_copy_1"
"OG0000386","AL6G31950","AL6G31950_ALR_scaffold_6_copy_1"
